epoch,train_loss,accuracy,precision,recall,f1,avg_log_likelihood
1,33.74783023198446,0.5379458941824276,0.1588528211450886,0.15512796735134746,0.1233719326848557,-21.975734424591064
2,16.272595151265463,0.7567632271965525,0.5199502123864261,0.5900435961976996,0.5474507158603712,-12.804907083511353
3,10.579675823450089,0.8391189849174049,0.6899646857931904,0.6635842645675843,0.6643537322479903,-8.95780118306478
4,7.641126547257105,0.86258079961695,0.7876924782397461,0.8010150235602802,0.777645707535376,-7.715708676973978
5,6.108017088969548,0.8747905195116112,0.8361482216440981,0.8121509858309016,0.8115644660722706,-6.917491928736369
6,4.9276702284812925,0.8798180512329423,0.8261031103964116,0.816360831649863,0.8113537160297853,-7.1305896759033205
7,4.1597843885421755,0.878860426143165,0.8452611410764008,0.8400736738115437,0.8356552648221045,-6.7985520760218305
8,3.5417739977439244,0.8786210198707206,0.8260836624893608,0.8493448423538466,0.8326785575683989,-7.5182307958602905
9,3.1320655832688016,0.8829303327747187,0.8434021003134011,0.8590582343837697,0.850411617823615,-7.273569369316101
10,2.5733131458361944,0.8913095523102705,0.8522555197255991,0.8741964069000215,0.8622806813577066,-7.345232057571411
11,2.2082864344120026,0.88245152022983,0.8474609244379752,0.8606530780237055,0.8532662581275041,-7.493184073766073
12,1.8347835977872213,0.8671295187933924,0.8344636717535728,0.8494994533201948,0.84043433028758,-8.55219890276591
13,1.5725700875123343,0.8862820205889395,0.8519387782973757,0.8717704856528654,0.8614550621938583,-8.088878750801086
14,1.512376261750857,0.8867608331338281,0.8509931681289995,0.8760662527774682,0.863079697441622,-8.066377743085225
15,1.2512751499811807,0.8903519272204932,0.8537448870338157,0.8701615129348931,0.8616251231936815,-8.3850479443868
16,1.220041811466217,0.8834091453196073,0.8481429900269369,0.8661586086373809,0.8566707900833157,-8.728693652153016
17,1.0652293652296065,0.8891548958582715,0.8598524603735311,0.8762550949854255,0.8673765350523234,-8.706429211298625
18,0.9646126866340637,0.8881972707684941,0.8443832893985713,0.8688118253727375,0.855482346699142,-8.804053560892742
19,1.0243384967247644,0.8886760833133828,0.8548056223742695,0.876110157938245,0.8644023916206519,-9.179410711924236
20,0.8292934904495876,0.8853243954991621,0.8606418895137965,0.8711579067691728,0.8651662866589022,-9.321361955006918
21,0.8796425511439642,0.8862820205889395,0.8630568639163537,0.8671840980790273,0.8645566496649062,-9.448562741279602
22,0.745565457145373,0.8881972707684941,0.8714586487510966,0.8682617664386313,0.8694408843286956,-9.871205345789592
23,0.7752950807412465,0.8805362700502753,0.8546141383715274,0.870039778988066,0.861809952989333,-10.071445639928182
24,0.7336587091286977,0.8783816135982763,0.850212690596952,0.8606917458088345,0.8549838329078957,-10.211818877855936
25,1.5414126326640447,0.8846061766818291,0.8660991344080318,0.8728851808168022,0.8690899804464063,-8.746081519126893
26,0.5857519050439198,0.8853243954991621,0.8641935155487758,0.8688894566455022,0.865872714252661,-10.108829243977864
27,0.5854077746470769,0.8881972707684941,0.8702100663821701,0.8655256691057177,0.8672256910397097,-10.108526015281678
